Lista B:
1		2017057984		Zed
2		2015067485		Shen		A
3		2017051245		Warwick		F
4		2019057484		Renekton	A
5		2014051477		Kled	 	A
6		2017054788		Nasus		A
7		2014077845		Camille 	A
8		2017062545		Gnar		A
9		2017080977		Tamn Kentch 	F
10		2017054878		Shaco		A
11		2017058474		Jayce		A
12		2017047172		Poppy		A
13		2019061718		Maokai	 	A
14		2017068898		Gangplank	A
15		2017091425		Darius		A
16		2017047414		Garen		A
17		2016052222		Braum 		A
18		2017089495		Singed		A
19		2017051412		Rell		A
20		2017096362		Draven		A
21		2017054357		Alistar		A
22		2017095891		Khazix		A
23		2017041414		Rengar		A
24		2017036541		Viego		A
25		2017057845		Lee Sin 	A
26		2017043231		Illaoi		A
27		2017098142		Ezreal		F
